GEOID,County,State,measure,value
08119,Teller County,Colorado,Children without Health Insurance,0.024075875486381324
08121,Washington County,Colorado,Children without Health Insurance,0.06023029229406555
08123,Weld County,Colorado,Children without Health Insurance,0.04732837646243926
08125,Yuma County,Colorado,Children without Health Insurance,0.1478997529121073
08001,Adams County,Colorado,Black Population without Health Insurance,0.07619100315387595
08003,Alamosa County,Colorado,Black Population without Health Insurance,0.04697986577181208
08005,Arapahoe County,Colorado,Black Population without Health Insurance,0.10916762890418966
08007,Archuleta County,Colorado,Black Population without Health Insurance,0.0
08009,Baca County,Colorado,Black Population without Health Insurance,0.0
08011,Bent County,Colorado,Black Population without Health Insurance,0.0
08013,Boulder County,Colorado,Black Population without Health Insurance,0.1625415589213151
08014,Broomfield County,Colorado,Black Population without Health Insurance,0.13160733549083065
08015,Chaffee County,Colorado,Black Population without Health Insurance,0.0
08017,Cheyenne County,Colorado,Black Population without Health Insurance,0.0
08019,Clear Creek County,Colorado,Black Population without Health Insurance,0.0
08021,Conejos County,Colorado,Black Population without Health Insurance,0.0
08023,Costilla County,Colorado,Black Population without Health Insurance,0.0
08025,Crowley County,Colorado,Black Population without Health Insurance,0.0
08027,Custer County,Colorado,Black Population without Health Insurance,0.0
08029,Delta County,Colorado,Black Population without Health Insurance,0.0
08031,Denver County,Colorado,Black Population without Health Insurance,0.07863134586478318
08033,Dolores County,Colorado,Black Population without Health Insurance,0.0
08035,Douglas County,Colorado,Black Population without Health Insurance,0.08943554538520214
08037,Eagle County,Colorado,Black Population without Health Insurance,0.0
08039,Elbert County,Colorado,Black Population without Health Insurance,0.0
08041,El Paso County,Colorado,Black Population without Health Insurance,0.07340127388535032
08043,Fremont County,Colorado,Black Population without Health Insurance,0.0
08045,Garfield County,Colorado,Black Population without Health Insurance,0.14814814814814814
08047,Gilpin County,Colorado,Black Population without Health Insurance,0.0
08049,Grand County,Colorado,Black Population without Health Insurance,0.14
08051,Gunnison County,Colorado,Black Population without Health Insurance,0.023255813953488372
08053,Hinsdale County,Colorado,Black Population without Health Insurance,0.0
08055,Huerfano County,Colorado,Black Population without Health Insurance,0.0
08057,Jackson County,Colorado,Black Population without Health Insurance,0.0
08059,Jefferson County,Colorado,Black Population without Health Insurance,0.07291837740187222
08061,Kiowa County,Colorado,Black Population without Health Insurance,0.0
08063,Kit Carson County,Colorado,Black Population without Health Insurance,0.0
08065,Lake County,Colorado,Black Population without Health Insurance,0.0
08067,La Plata County,Colorado,Black Population without Health Insurance,0.10256410256410256
08069,Larimer County,Colorado,Black Population without Health Insurance,0.06201117318435754
08071,Las Animas County,Colorado,Black Population without Health Insurance,0.0
08073,Lincoln County,Colorado,Black Population without Health Insurance,0.0
08075,Logan County,Colorado,Black Population without Health Insurance,0.015463917525773196
