GEOID,County,State,measure,value
08057,Jackson County,Colorado,Annual Labor Force Participation,0.5779376498800959
08059,Jefferson County,Colorado,Annual Labor Force Participation,0.6932040882141352
08061,Kiowa County,Colorado,Annual Labor Force Participation,0.6215469613259669
08063,Kit Carson County,Colorado,Annual Labor Force Participation,0.6569573283858998
08065,Lake County,Colorado,Annual Labor Force Participation,0.7673814165042235
08067,La Plata County,Colorado,Annual Labor Force Participation,0.6359280929364878
08069,Larimer County,Colorado,Annual Labor Force Participation,0.6716736290107546
08071,Las Animas County,Colorado,Annual Labor Force Participation,0.5167393271366291
08073,Lincoln County,Colorado,Annual Labor Force Participation,0.4603749467405198
08075,Logan County,Colorado,Annual Labor Force Participation,0.5866666666666667
08077,Mesa County,Colorado,Annual Labor Force Participation,0.6120194775898816
08079,Mineral County,Colorado,Annual Labor Force Participation,0.5875706214689266
08081,Moffat County,Colorado,Annual Labor Force Participation,0.6444705192138457
08083,Montezuma County,Colorado,Annual Labor Force Participation,0.550920245398773
08085,Montrose County,Colorado,Annual Labor Force Participation,0.5561620709060214
08087,Morgan County,Colorado,Annual Labor Force Participation,0.6526546691736055
08089,Otero County,Colorado,Annual Labor Force Participation,0.5663571818678318
08091,Ouray County,Colorado,Annual Labor Force Participation,0.5493965131873044
08093,Park County,Colorado,Annual Labor Force Participation,0.5950413223140496
08095,Phillips County,Colorado,Annual Labor Force Participation,0.6366313309776207
08097,Pitkin County,Colorado,Annual Labor Force Participation,0.6930706339632757
08099,Prowers County,Colorado,Annual Labor Force Participation,0.619487290897241
08101,Pueblo County,Colorado,Annual Labor Force Participation,0.5550023637867865
08103,Rio Blanco County,Colorado,Annual Labor Force Participation,0.5986515962720603
08105,Rio Grande County,Colorado,Annual Labor Force Participation,0.6031120110838751
08107,Routt County,Colorado,Annual Labor Force Participation,0.6804635761589404
08109,Saguache County,Colorado,Annual Labor Force Participation,0.5720254314259764
08111,San Juan County,Colorado,Annual Labor Force Participation,0.7228525121555915
08113,San Miguel County,Colorado,Annual Labor Force Participation,0.7269047274830128
08115,Sedgwick County,Colorado,Annual Labor Force Participation,0.5981259760541384
08117,Summit County,Colorado,Annual Labor Force Participation,0.7487911755817468
08119,Teller County,Colorado,Annual Labor Force Participation,0.5816620263319333
08121,Washington County,Colorado,Annual Labor Force Participation,0.5903366743767668
08123,Weld County,Colorado,Annual Labor Force Participation,0.697794720289717
08125,Yuma County,Colorado,Annual Labor Force Participation,0.6793728034603947
08001,Adams County,Colorado,Annual Unemployment Rate,0.0460084249460598
08003,Alamosa County,Colorado,Annual Unemployment Rate,0.02498769079271295
08005,Arapahoe County,Colorado,Annual Unemployment Rate,0.0468131154055803
08007,Archuleta County,Colorado,Annual Unemployment Rate,0.018243461414271876
08009,Baca County,Colorado,Annual Unemployment Rate,0.01310615989515072
08011,Bent County,Colorado,Annual Unemployment Rate,0.046135410425404436
08013,Boulder County,Colorado,Annual Unemployment Rate,0.04619420596820755
